Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
29611629,01/01/2015 12:11:14 AM,01/01/2015 05:02:42 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10003,201 EAST 12 STREET,EAST 12 STREET,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,01/01/2015 08:11:14 AM,The Police Department responded to the complaint and took action to fix the condition.,01/01/2015 05:02:42 AM,03 MANHATTAN,MANHATTAN,"987,562","205,938",Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73192828877806,-73.98804970769358,"(40.73192828877806, -73.98804970769358)"
29607571,01/01/2015 12:11:33 AM,01/01/2015 04:38:30 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11215,1 PROSPECT PARK WEST,PROSPECT PARK WEST,GRAND ARMY PLAZA OVAL,PRESIDENT STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/01/2015 08:11:33 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2015 04:38:30 AM,06 BROOKLYN,BROOKLYN,"992,436","184,283",Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.672487228878474,-73.97048976168917,"(40.672487228878474, -73.97048976168917)"
29609150,01/01/2015 12:12:47 AM,01/01/2015 02:58:37 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11201,189 BRIDGE STREET,BRIDGE STREET,RAMP,CONCORD STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/01/2015 08:12:47 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/01/2015 02:58:37 AM,02 BROOKLYN,BROOKLYN,"988,421","193,641",Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.69817560119618,-73.98495790022164,"(40.69817560119618, -73.98495790022164)"
29608265,01/01/2015 12:13:15 AM,01/01/2015 12:19:30 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10031,565 WEST 144 STREET,WEST 144 STREET,AMSTERDAM AVENUE,BROADWAY,,,ADDRESS,NEW YORK,,Precinct,Closed,01/01/2015 08:13:15 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2015 12:19:30 AM,09 MANHATTAN,MANHATTAN,"998,155","239,949",Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.82526917214624,-73.94975787584788,"(40.82526917214624, -73.94975787584788)"
29608336,01/01/2015 12:13:36 AM,01/01/2015 06:30:39 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11208,1125 BLAKE AVENUE,BLAKE AVENUE,MONTAUK AVENUE,MILFORD STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/01/2015 08:13:36 AM,The Police Department responded to the complaint and took action to fix the condition.,01/01/2015 06:30:39 AM,05 BROOKLYN,BROOKLYN,"1,018,560","183,607",Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.670569061059325,-73.87631719092924,"(40.670569061059325, -73.87631719092924)"
29610641,01/01/2015 12:14:00 AM,01/01/2015 02:21:48 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11364,67TH AVENUE,67TH AVENUE,,,,,LATLONG,OAKLAND GARDENS,,Precinct,Closed,01/01/2015 08:14:00 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,01/01/2015 02:21:48 AM,11 QUEENS,QUEENS,"1,053,925","211,521",Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74697836973595,-73.74854291758119,"(40.74697836973595, -73.74854291758119)"
29611633,01/01/2015 12:14:37 AM,01/01/2015 04:48:58 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11220,536 60 STREET,60 STREET,5 AVENUE,6 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/01/2015 08:14:37 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2015 04:48:58 AM,07 BROOKLYN,BROOKLYN,"980,011","172,057",Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.638932305873226,-74.01527375942788,"(40.638932305873226, -74.01527375942788)"
29609170,01/01/2015 12:14:39 AM,01/01/2015 12:41:29 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10468,2337 GRAND CONCOURSE,GRAND CONCOURSE,EAST 183 STREET,FIELD PLACE,,,ADDRESS,BRONX,,Precinct,Closed,01/01/2015 08:14:39 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2015 12:39:51 AM,05 BRONX,BRONX,"1,012,082","252,034",Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85840604170503,-73.89938613893433,"(40.85840604170503, -73.89938613893433)"
29608295,01/01/2015 12:15:33 AM,01/01/2015 12:56:37 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10002,LUDLOW STREET,LUDLOW STREET,RIVINGTON STREET,STANTON STREET,,,BLOCKFACE,NEW YORK,,Precinct,Closed,01/01/2015 08:15:33 AM,The Police Department reviewed your complaint and provided additional information below.,01/01/2015 12:56:37 AM,03 MANHATTAN,MANHATTAN,"987,559","201,831",Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.720655573919394,-73.98806255168788,"(40.720655573919394, -73.98806255168788)"
29608227,01/01/2015 12:15:50 AM,01/01/2015 03:35:27 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11364,75-05 210 STREET,210 STREET,75 AVENUE,DEAD END,,,ADDRESS,OAKLAND GARDENS,,Precinct,Closed,01/01/2015 08:15:50 AM,The Police Department responded to the complaint and took action to fix the condition.,01/01/2015 03:35:27 AM,11 QUEENS,QUEENS,"1,050,048","207,891",Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73704465828769,-73.76257044930473,"(40.73704465828769, -73.76257044930473)"
29608248,01/01/2015 12:15:50 AM,01/01/2015 12:43:41 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10031,527 WEST 135 STREET,WEST 135 STREET,AMSTERDAM AVENUE,BROADWAY,,,ADDRESS,NEW YORK,,Precinct,Closed,01/01/2015 08:15:50 AM,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,01/01/2015 12:43:41 AM,09 MANHATTAN,MANHATTAN,"997,225","237,783",Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81932553101754,-73.95312237808228,"(40.81932553101754, -73.95312237808228)"
29611632,01/01/2015 12:15:57 AM,01/01/2015 04:52:13 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11226,220 EAST 18 STREET,EAST 18 STREET,ALBEMARLE ROAD,BEVERLY ROAD,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/01/2015 08:15:57 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2015 04:52:13 AM,14 BROOKLYN,BROOKLYN,"994,684","174,572",Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.64583030875887,-73.96240082900569,"(40.64583030875887, -73.96240082900569)"
